symbol,code,name,current,percent,change,high,low,high52w,low52w,marketcapital,amount,pettm,volume
SZ399436,399436,国证煤炭,2568.94,3.47,86.19,2589.04,2544.78,3946.73,2418.26,0.0,4.669691095E9,,572443250
SZ000509,000509,华塑控股,2.98,3.47,0.1,2.99,2.88,5.51,2.34,2.45993968866E9,8.003751766E7,128.86,27152600
SZ002696,002696,百洋股份,9.59,3.45,0.32,9.59,9.32,14.85,9.16,3.79102952669E9,2.192960174E7,25.44,2318363
SZ002422,002422,科伦药业,28.0,3.44,0.93,28.25,27.25,35.86,17.2,4.0315674E10,2.7356218859E8,31.83,9807549
SH600867,600867,通化东宝,17.45,3.44,0.58,18.3,16.95,27.51,15.18,3.583454809925E10,4.48822956E8,37.22,25528405
SZ300724,300724,捷佳伟创,34.47,3.42,1.14,34.58,32.6,37.77,16.99,1.10304E10,1.03739287145E9,,30762303
SH600856,600856,中天能源,4.54,3.42,0.15,4.64,4.36,14.17,3.9,6.20461088066E9,2.22125694E8,14.86,49283802
SH603566,603566,普莱柯,14.84,3.41,0.49,14.91,14.4,25.32,14.01,4.8043016E9,9651304.0,37.34,657788
SH600614,600614,鹏起科技,4.55,3.41,0.15,4.55,4.4,13.05,4.3,7.9751205989E9,6.1750115E7,23.56,13788015
SH601789,601789,宁波建工,3.67,3.38,0.12,3.76,3.52,5.43,3.35,3.5822136E9,4.5398686E7,15.86,12416384
SZ002524,002524,光正集团,5.22,3.37,0.17,5.25,4.97,7.95,4.43,2.627397216E9,7.5784685E7,161.16,14702101
SZ000533,000533,万家乐,3.37,3.37,0.11,3.41,3.26,11.2,3.03,2.32804992E9,4.257066801E7,81.47,12719754
SZ000026,000026,飞亚达A,7.67,3.37,0.25,7.68,7.4,12.53,7.1,3.36517323727E9,1.877660786E7,20.29,2487878
SZ300616,300616,尚品宅配,80.45,3.35,2.61,82.85,77.65,132.8,74.52,1.59855759E10,4.087299996E7,36.53,506059
SH603393,603393,新天然气,36.08,3.35,1.17,36.08,34.71,42.31,29.0,5.7728E9,1.43999676E8,22.58,4041785
SH603883,603883,老百姓,61.8,3.34,2.0,63.66,59.8,85.2,46.6,1.76096174388E10,1.40855533E8,43.94,2275221
SH603080,603080,新疆火炬,30.28,3.34,0.98,30.74,28.84,55.69,16.13,4.28462E9,1.40099375E8,49.01,4719739
SZ002727,002727,一心堂,25.21,3.32,0.81,25.99,24.76,35.15,17.86,1.431347693531E10,1.5796935282E8,28.68,6197838
SZ000504,000504,南华生物,11.52,3.32,0.37,11.88,11.15,27.0,10.46,3.58933133952E9,2.268318236E7,,1984908
SH600368,600368,五洲交通,3.42,3.32,0.11,3.42,3.28,4.67,3.02,3.84966167256E9,4.383596E7,10.2,13046593
SH600196,600196,复星医药,29.7,3.3,0.95,30.18,28.87,47.9,27.81,7.61229085815E10,8.40804037E8,25.41,28304570
SZ002260,002260,*ST德奥,3.14,3.29,0.1,3.17,3.04,20.79,2.59,8.32728E8,2.543003728E7,,8142548
SZ000852,000852,石化机械,10.35,3.29,0.33,10.54,9.92,15.19,6.26,6.1909320915E9,2.0549891699E8,72.44,20004300
SZ000962,000962,东方钽业,6.3,3.28,0.2,6.48,6.01,12.18,5.11,2.7772456572E9,8.496095191E7,,13680939
SZ002044,002044,美年健康,16.51,3.25,0.52,17.08,16.12,25.31,13.3,5.153707044356E10,2.6985850617E8,67.09,16244354
SZ000564,000564,供销大集,3.18,3.25,0.1,3.27,3.07,6.96,2.95,1.910489377458E10,1.3653993641E8,12.92,43159170
